_ ime,F_cup
2023/03/21 13:31:01,10.5
2023/03/21 13:31:02,10.38
2023/03/21 13:31:03,9.97
2023/03/21 13:31:04,10.34
2023/03/21 13:31:05,9.28
2023/03/21 13:31:06,8.83
2023/03/21 13:31:07,8.37
2023/03/21 13:31:08,6.82
2023/03/21 13:31:09,6.51
2023/03/21 13:31:10,6.42
2023/03/21 13:31:11,7.05
2023/03/21 13:31:12,7.66
2023/03/21 13:31:13,8.04
2023/03/21 13:31:14,8.48
2023/03/21 13:31:15,8.51
2023/03/21 13:31:16,8.82
2023/03/21 13:31:17,9.64
2023/03/21 13:31:18,9.18
2023/03/21 13:31:19,8.99
2023/03/21 13:31:20,8.38
2023/03/21 13:31:21,8.48
2023/03/21 13:31:22,8
2023/03/21 13:31:23,8.1
2023/03/21 13:31:24,8.36
2023/03/21 13:31:25,8.62
2023/03/21 13:31:26,8.39
2023/03/21 13:31:27,7.8
2023/03/21 13:31:28,8.14
2023/03/21 13:31:29,8.01
2023/03/21 13:31:30,8.32
2023/03/21 13:31:31,8.37
2023/03/21 13:31:32,8.15
2023/03/21 13:31:33,8.72
2023/03/21 13:31:34,9.9
2023/03/21 13:31:35,8.92
2023/03/21 13:31:36,7.29
2023/03/21 13:31:37,7.14
2023/03/21 13:31:38,7.74
2023/03/21 13:31:39,7.86
2023/03/21 13:31:40,7.82
2023/03/21 13:31:41,9.09
2023/03/21 13:31:42,8.67
2023/03/21 13:31:43,7.34
2023/03/21 13:31:44,7.19
2023/03/21 13:31:45,7.34
2023/03/21 13:31:46,7.58
2023/03/21 13:31:47,7.3
2023/03/21 13:31:48,7.29
2023/03/21 13:31:49,8.21
2023/03/21 13:31:50,8.59
2023/03/21 13:31:51,8.65
2023/03/21 13:31:52,8.39
2023/03/21 13:31:53,8
2023/03/21 13:31:54,6.95
2023/03/21 13:31:55,5.79
2023/03/21 13:31:56,6.78
2023/03/21 13:31:57,8.15
2023/03/21 13:31:58,8.87
2023/03/21 13:31:59,8.79
2023/03/21 13:32:00,9.54
2023/03/21 13:32:01,9.33
2023/03/21 13:32:02,8.59
2023/03/21 13:32:03,8.47
2023/03/21 13:32:04,8.76
2023/03/21 13:32:05,8.41
2023/03/21 13:32:06,7.87
2023/03/21 13:32:07,7.92
2023/03/21 13:32:08,9.14
2023/03/21 13:32:09,8.69
2023/03/21 13:32:10,9.12
2023/03/21 13:32:11,8.71
2023/03/21 13:32:12,7.03
2023/03/21 13:32:13,6.18
2023/03/21 13:32:14,6.93
2023/03/21 13:32:15,8.05
2023/03/21 13:32:16,8.4
2023/03/21 13:32:17,8.88
2023/03/21 13:32:18,8.5
2023/03/21 13:32:19,8.49
2023/03/21 13:32:20,8.85
2023/03/21 13:32:21,8.74
2023/03/21 13:32:22,8.92
2023/03/21 13:32:23,8.98
2023/03/21 13:32:24,8.94
2023/03/21 13:32:25,8.89
2023/03/21 13:32:26,9.12
2023/03/21 13:32:27,9.31
2023/03/21 13:32:28,9.5
2023/03/21 13:32:29,8.81
2023/03/21 13:32:30,8.28
2023/03/21 13:32:31,7.93
2023/03/21 13:32:32,7.7
2023/03/21 13:32:33,7.04
2023/03/21 13:32:34,6.63
2023/03/21 13:32:35,6.79
2023/03/21 13:32:36,6.65
2023/03/21 13:32:37,6.29
2023/03/21 13:32:38,5.37
2023/03/21 13:32:39,4.58
2023/03/21 13:32:40,4.51
2023/03/21 13:32:41,4.58
2023/03/21 13:32:42,5.03
2023/03/21 13:32:43,6.83
2023/03/21 13:32:44,7.54
2023/03/21 13:32:45,7.64
2023/03/21 13:32:46,7.79
2023/03/21 13:32:47,7.5
2023/03/21 13:32:48,6.67
2023/03/21 13:32:49,8.19
2023/03/21 13:32:50,8.96
2023/03/21 13:32:51,8.31
2023/03/21 13:32:52,7.95
2023/03/21 13:32:53,8.63
2023/03/21 13:32:54,8.53
2023/03/21 13:32:55,8.01
2023/03/21 13:32:56,8.17
2023/03/21 13:32:57,7.04
2023/03/21 13:32:58,7.04
2023/03/21 13:32:59,7.15
2023/03/21 13:33:00,7.13
2023/03/21 13:33:01,7.49
2023/03/21 13:33:02,7.68
